<p>
BTHO0397-00000004	신경학	신경학/NNG
BTHO0397-00000452	등이	등/NNB + 이/JKS
BTHO0397-00000453	필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0397-00000454	특히	특히/MAG
BTHO0397-00000455	넓은	넓/VA + 은/ETM
BTHO0397-00000456	의미에서	의미/NNG + 에서/JKB
BTHO0397-00000457	신경계를	신경/NNG + 계/XSN + 를/JKO
BTHO0397-00000458	하나의	하나/NR + 의/JKG
BTHO0397-00000459	단일	단일/NNG
BTHO0397-00000460	기관이라고	기관/NNG + 이/VCP + 라고/EC
BTHO0397-00000461	한다면,	하/VV + ᆫ다면/EC + ,/SP
BTHO0397-00000462	단위	단위/NNG
BTHO0397-00000463	기능들이	기능/NNG + 들/XSN + 이/JKS
BTHO0397-00000464	함께	함께/MAG
BTHO0397-00000465	작용하는	작용/NNG + 하/XSV + 는/ETM
BTHO0397-00000466	통정	통정/NNG
BTHO0397-00000467	기관이라고	기관/NNG + 이/VCP + 라고/EC
BTHO0397-00000468	말할	말/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000469	수도	수/NNB + 도/JX
BTHO0397-00000470	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000471	그래서	그래서/MAJ
BTHO0397-00000472	질병의	질병/NNG + 의/JKG
BTHO0397-00000473	진행	진행/NNG
BTHO0397-00000474	과정,	과정/NNG + ,/SP
BTHO0397-00000475	병리적	병리/NNG + 적/XSN
BTHO0397-00000476	상태,	상태/NNG + ,/SP
BTHO0397-00000477	발병	발병/NNG
BTHO0397-00000478	원인	원인/NNG + ,/SP
BTHO0397-00000479	등을	등/NNB + 을/JKO
BTHO0397-00000480	추적하고,	추적/NNG + 하/XSV + 고/EC + ,/SP
BTHO0397-00000481	동시에	동시/NNG + 에/JKB
BTHO0397-00000482	치료를	치료/NNG + 를/JKO
BTHO0397-00000483	결정하면서	결정/NNG + 하/XSV + 면서/EC
BTHO0397-00000484	시행하는	시행/NNG + 하/XSV + 는/ETM
BTHO0397-00000485	과정이	과정/NNG + 이/JKS
BTHO0397-00000486	이루어져야	이루어지/VV + 어야/EC
BTHO0397-00000487	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000488	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000489	과정에서	과정/NNG + 에서/JKB
BTHO0397-00000490	가장	가장/MAG
BTHO0397-00000491	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000492	사항은	사항/NNG + 은/JX
BTHO0397-00000493	우선	우선/MAG
BTHO0397-00000494	병력	병력/NNG
BTHO0397-00000495	청취이며,	청취/NNG + 이/VCP + 며/EC + ,/SP
BTHO0397-00000496	이어서	이어서/MAG
BTHO0397-00000497	이학적	이학/NNG + 적/XSN
BTHO0397-00000498	검사와	검사/NNG + 와/JKB
BTHO0397-00000499	더불어	더불/VV + 어/EC
BTHO0397-00000500	신경학적	신경학/NNG + 적/XSN
BTHO0397-00000501	검사가	검사/NNG + 가/JKS
BTHO0397-00000502	수반된다.	수반/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<head>
BTHO0397-00000503	1.	1/SN + ./SF
BTHO0397-00000504	신경학적	신경학/NNG + 적/XSN
BTHO0397-00000505	병력	병력/NNG
BTHO0397-00000506	(Neurologic	(/SS + Neurologic/SL
BTHO0397-00000507	History)	History/SL + )/SS
</head>
<p>
BTHO0397-00000508	신경계	신경/NNG + 계/XSN
BTHO0397-00000509	질환이	질환/NNG + 이/JKS
BTHO0397-00000510	있는	있/VV + 는/ETM
BTHO0397-00000511	환자들에	환자/NNG + 들/XSN + 에/JKB
BTHO0397-00000512	대한	대하/VV + ᆫ/ETM
BTHO0397-00000513	진찰은	진찰/NNG + 은/JX
BTHO0397-00000514	첫	첫/MM
BTHO0397-00000515	대면부터	대면/NNG + 부터/JX
BTHO0397-00000516	시작된다.	시작/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000517	예를	예/NNG + 를/JKO
BTHO0397-00000518	들어	들/VV + 어/EC
BTHO0397-00000519	환자의	환자/NNG + 의/JKG
BTHO0397-00000520	표정,	표정/NNG + ,/SP
BTHO0397-00000521	몸짓,	몸짓/NNG + ,/SP
BTHO0397-00000522	걸음걸이	걸음걸이/NNG
BTHO0397-00000523	등이	등/NNB + 이/JKS
BTHO0397-00000524	평가되며	평가/NNG + 되/XSV + 며/EC
BTHO0397-00000525	진단에서의	진단/NNG + 에서/JKB + 의/JKG
BTHO0397-00000526	단서가	단서/NNG + 가/JKC
BTHO0397-00000527	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000528	만약	만약/NNG
BTHO0397-00000529	응급실에서	응급실/NNG + 에서/JKB
BTHO0397-00000530	혼수	혼수/NNG
BTHO0397-00000531	상태의	상태/NNG + 의/JKG
BTHO0397-00000532	환자가	환자/NNG + 가/JKS
BTHO0397-00000533	도착한	도착/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00000534	경우라고	경우/NNG + 이/VCP + 라고/EC
BTHO0397-00000535	한다면,	하/VV + ᆫ다면/EC + ,/SP
BTHO0397-00000536	우선	우선/MAG
BTHO0397-00000537	환자의	환자/NNG + 의/JKG
BTHO0397-00000538	옷차림새,	옷차림새/NNG + ,/SP
BTHO0397-00000539	신발,	신발/NNG + ,/SP
BTHO0397-00000540	냄새	냄새/NNG
BTHO0397-00000541	등에서	등/NNB + 에서/JKB
BTHO0397-00000542	짐작의	짐작/NNG + 의/JKG
BTHO0397-00000543	단서를	단서/NNG + 를/JKO
BTHO0397-00000544	찾아야	찾/VV + 아야/EC
BTHO0397-00000545	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000546	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000547	이유는	이유/NNG + 는/JX
BTHO0397-00000548	예를	예/NNG + 를/JKO
BTHO0397-00000549	들어	들/VV + 어/EC
BTHO0397-00000550	의식	의식/NNG
BTHO0397-00000551	불명의	불명/NNG + 의/JKG
BTHO0397-00000552	환자가	환자/NNG + 가/JKS
BTHO0397-00000553	알코올	알코올/NNG
BTHO0397-00000554	중독,	중독/NNG + ,/SP
BTHO0397-00000555	약물	약물/NNG
BTHO0397-00000556	중독,	중독/NNG + ,/SP
BTHO0397-00000557	경련	경련/NNG
BTHO0397-00000558	발작	발작/NNG
BTHO0397-00000559	혹은	혹은/MAG
BTHO0397-00000560	대사	대사/NNG
BTHO0397-00000561	장애인가?	장애/NNG + 이/VCP + ᆫ가/EF + ?/SF
</p>
<p>
BTHO0397-00000562	등을	등/NNB + 을/JKO
BTHO0397-00000563	감별하는	감별/NNG + 하/XSV + 는/ETM
BTHO0397-00000564	데	데/NNB
BTHO0397-00000565	단서를	단서/NNG + 를/JKO
BTHO0397-00000566	제공할	제공/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000567	수	수/NNB
BTHO0397-00000568	있기	있/VV + 기/ETN
BTHO0397-00000569	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0397-00000570	임상에서	임상/NNG + 에서/JKB
BTHO0397-00000571	병력	병력/NNG
BTHO0397-00000572	청취의	청취/NNG + 의/JKG
BTHO0397-00000573	중요성은	중요/NNG + 성/XSN + 은/JX
BTHO0397-00000574	모든	모든/MM
BTHO0397-00000575	분야에서	분야/NNG + 에서/JKB
BTHO0397-00000576	동일하지만,	동일/NNG + 하/XSA + 지만/EC + ,/SP
BTHO0397-00000577	임상	임상/NNG
BTHO0397-00000578	신경학의	신경학/NNG + 의/JKG
BTHO0397-00000579	경우는	경우/NNG + 는/JX
BTHO0397-00000580	절대적인	절대/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00000581	사항이며	사항/NNG + 이/VCP + 며/EC
BTHO0397-00000582	철저한	철저/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000583	조사	조사/NNG
BTHO0397-00000584	분석을	분석/NNG + 을/JKO
BTHO0397-00000585	필요로	필요/NNG + 로/JKB
BTHO0397-00000586	한다.	하/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000587	특히	특히/MAG
BTHO0397-00000588	환자에게서	환자/NNG + 에게서/JKB
BTHO0397-00000589	얻게	얻/VV + 게/EC
BTHO0397-00000590	되는	되/VV + 는/ETM
BTHO0397-00000591	병력인가	병력/NNG + 이/VCP + ᆫ가/EC
BTHO0397-00000592	혹은	혹은/MAG
BTHO0397-00000593	동반자에게서	동반자/NNG + 에게서/JKB
BTHO0397-00000594	얻게	얻/VV + 게/EC
BTHO0397-00000595	되는	되/VV + 는/ETM
BTHO0397-00000596	병력인가	병력/NNG + 이/VCP + ᆫ가/EC
BTHO0397-00000597	하는	하/VV + 는/ETM
BTHO0397-00000598	정보	정보/NNG
BTHO0397-00000599	제공의	제공/NNG + 의/JKG
BTHO0397-00000600	근원은	근원/NNG + 은/JX
BTHO0397-00000601	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000602	의미를	의미/NNG + 를/JKO
BTHO0397-00000603	가진다.	가지/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000604	환자가	환자/NNG + 가/JKS
BTHO0397-00000605	자신의	자신/NNG + 의/JKG
BTHO0397-00000606	병을	병/NNG + 을/JKO
BTHO0397-00000607	어떻게	어떻/VA + 게/EC
BTHO0397-00000608	설명하고	설명/NNG + 하/XSV + 고/EC
BTHO0397-00000609	있으며,	있/VX + 으며/EC + ,/SP
BTHO0397-00000610	어느	어느/MM
BTHO0397-00000611	정도	정도/NNG
BTHO0397-00000612	설명하는가	설명/NNG + 하/XSV + 는가/EC
BTHO0397-00000613	하는	하/VV + 는/ETM
BTHO0397-00000614	점은	점/NNG + 은/JX
BTHO0397-00000615	환자의	환자/NNG + 의/JKG
BTHO0397-00000616	능력	능력/NNG
BTHO0397-00000617	및	및/MAG
BTHO0397-00000618	상태를	상태/NNG + 를/JKO
BTHO0397-00000619	의미하게	의미/NNG + 하/XSV + 게/EC
BTHO0397-00000620	된다.	되/VV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000621	예를	예/NNG + 를/JKO
BTHO0397-00000622	들어	들/VV + 어/EC
BTHO0397-00000623	간질	간질/NNG
BTHO0397-00000624	환자의	환자/NNG + 의/JKG
BTHO0397-00000625	경우나	경우/NNG + 나/JC
BTHO0397-00000626	혹은	혹은/MAG
BTHO0397-00000627	치매	치매/NNG
BTHO0397-00000628	환자의	환자/NNG + 의/JKG
BTHO0397-00000629	경우는	경우/NNG + 는/JX
BTHO0397-00000630	자신의	자신/NNG + 의/JKG
BTHO0397-00000631	병적	병/NNG + 적/XSN
BTHO0397-00000632	상태를	상태/NNG + 를/JKO
BTHO0397-00000633	충분히	충분히/MAG
BTHO0397-00000634	설명할	설명/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000635	정보를	정보/NNG + 를/JKO
BTHO0397-00000636	갖지	갖/VV + 지/EC
BTHO0397-00000637	못하고	못하/VX + 고/EC
BTHO0397-00000638	있다.	있/VX + 다/EF + ./SF
</p>
<head>
BTHO0397-00000639	1)	1/SN + )/SS
BTHO0397-00000640	질병의	질병/NNG + 의/JKG
BTHO0397-00000641	종류	종류/NNG
BTHO0397-00000642	(Types	(/SS + Types/SL
BTHO0397-00000643	of	of/SL
BTHO0397-00000644	diseases)	diseases/SL + )/SS
</head>
<p>
BTHO0397-00000645	환자를	환자/NNG + 를/JKO
BTHO0397-00000646	진찰하거나	진찰/NNG + 하/XSV + 거나/EC
BTHO0397-00000647	면담	면담/NNG
BTHO0397-00000648	중에	중/NNB + 에/JKB
BTHO0397-00000649	있는	있/VV + 는/ETM
BTHO0397-00000650	의사는	의사/NNG + 는/JX
BTHO0397-00000651	병력	병력/NNG
BTHO0397-00000652	조사에서	조사/NNG + 에서/JKB
BTHO0397-00000653	우선	우선/MAG
BTHO0397-00000654	질병의	질병/NNG + 의/JKG
BTHO0397-00000655	발병	발병/NNG
BTHO0397-00000656	시기,	시기/NNG + ,/SP
BTHO0397-00000657	경과	경과/NNG
BTHO0397-00000658	혹은	혹은/MAG
BTHO0397-00000659	심한	심하/VA + ᆫ/ETM
BTHO0397-00000660	정도를	정도/NNG + 를/JKO
BTHO0397-00000661	알아내야	알아내/VV + 어야/EC
BTHO0397-00000662	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000663	일반적으로	일반/NNG + 적/XSN + 으로/JKB
BTHO0397-00000664	환자들이	환자/NNG + 들/XSN + 이/JKS
BTHO0397-00000665	발병한	발병/NNG + 하/XSV + ᆫ/ETM
BTHO0397-00000666	상태의	상태/NNG + 의/JKG
BTHO0397-00000667	정확한	정확/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000668	날짜나	날짜/NNG + 나/JC
BTHO0397-00000669	시간을	시간/NNG + 을/JKO
BTHO0397-00000670	알	알/VV + ᆯ/ETM
BTHO0397-00000671	수	수/NNB
BTHO0397-00000672	있는	있/VV + 는/ETM
BTHO0397-00000673	급성	급성/NNG
BTHO0397-00000674	상태와	상태/NNG + 와/JC
BTHO0397-00000675	그	그/MM
BTHO0397-00000676	시기가	시기/NNG + 가/JKS
BTHO0397-00000677	애매하거나	애매/XR + 하/XSA + 거나/EC
BTHO0397-00000678	점진적인	점진/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00000679	아급성	아급/NNG + 성/XSN
BTHO0397-00000680	혹은	혹은/MAG
BTHO0397-00000681	만성	만성/NNG
BTHO0397-00000682	상태를	상태/NNG + 를/JKO
BTHO0397-00000683	구분하기	구분/NNG + 하/XSV + 기/ETN
BTHO0397-00000684	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0397-00000685	충분한	충분/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000686	시간을	시간/NNG + 을/JKO
BTHO0397-00000687	갖고	갖/VV + 고/EC
BTHO0397-00000688	자세히	자세히/MAG
BTHO0397-00000689	질문하여야	질문/NNG + 하/XSV + 아야/EC
BTHO0397-00000690	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000691	특히	특히/MAG
BTHO0397-00000692	시간	시간/NNG
BTHO0397-00000693	경과에	경과/NNG + 에/JKB
BTHO0397-00000694	따라	따르/VV + 아/EC
BTHO0397-00000695	어떠한	어떠/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000696	변화가	변화/NNG + 가/JKS
BTHO0397-00000697	일어났는가를	일어나/VV + 았/EP + 는가/EC + 를/JKO
BTHO0397-00000698	파악하기	파악/NNG + 하/XSV + 기/ETN
BTHO0397-00000699	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0397-00000700	체계적	체계/NNG + 적/XSN
BTHO0397-00000701	질문과	질문/NNG + 과/JC
BTHO0397-00000702	개인력이나	개인/NNG + 력/NNG + 이나/JC
BTHO0397-00000703	혹은	혹은/MAG
BTHO0397-00000704	다른	다른/MM
BTHO0397-00000705	정보들과	정보/NNG + 들/XSN + 과/JKB
BTHO0397-00000706	연계하여	연계/NNG + 하/XSV + 아/EC
BTHO0397-00000707	밝혀야	밝히/VV + 어야/EC
BTHO0397-00000708	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000709	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000710	질병이	질병/NNG + 이/JKS
BTHO0397-00000711	진행성인지,	진행/NNG + 성/XSN + 이/VCP + ᆫ지/EC + ,/SP
BTHO0397-00000712	지속성인지	지속/NNG + 성/XSN + 이/VCP + ᆫ지/EC
BTHO0397-00000713	혹은	혹은/MAG
BTHO0397-00000714	경감되는	경감/NNG + 되/XSV + 는/ETM
BTHO0397-00000715	상태인지를	상태/NNG + 이/VCP + ᆫ지/EC + 를/JKO
BTHO0397-00000716	파악하는	파악/NNG + 하/XSV + 는/ETM
BTHO0397-00000717	것은	것/NNB + 은/JX
BTHO0397-00000718	진단에	진단/NNG + 에/JKB
BTHO0397-00000719	중요한	중요/NNG + 하/XSA + ᆫ/ETM
BTHO0397-00000720	단서를	단서/NNG + 를/JKO
BTHO0397-00000721	제공할	제공/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000722	수	수/NNB
BTHO0397-00000723	있다	있/VV + 다/EC
BTHO0397-00000724	(표	(/SS + 표/NNG
BTHO0397-00000725	1-1	1/SN + -/SS + 1/SN
BTHO0397-00000726	참조).	참조/NNG + )/SS + ./SF
</p>
<p>
BTHO0397-00000727	또한	또한/MAG
BTHO0397-00000728	환자의	환자/NNG + 의/JKG
BTHO0397-00000729	문제점	문제점/NNG
BTHO0397-00000730	혹은	혹은/MAG
BTHO0397-00000731	병변이	병변/NNG + 이/JKS
BTHO0397-00000732	초점성인가	초점/NNG + 성/XSN + 이/VCP + ᆫ가/EC
BTHO0397-00000733	범발성인가를	범발/NNG + 성/XSN + 이/VCP + ᆫ가/EC + 를/JKO
BTHO0397-00000734	조사해야만	조사/NNG + 하/XSV + 아야/EC + 만/JX
BTHO0397-00000735	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000736	만약	만약/NNG
BTHO0397-00000737	환자가	환자/NNG + 가/JKS
BTHO0397-00000738	근	근/MM
BTHO0397-00000739	쇠약을	쇠약/NNG + 을/JKO
BTHO0397-00000740	호소하는	호소/NNG + 하/XSV + 는/ETM
BTHO0397-00000741	경우라면,	경우/NNG + 이/VCP + 라면/EC + ,/SP
BTHO0397-00000742	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000743	근	근/MM
BTHO0397-00000744	쇠약이	쇠약/NNG + 이/JKS
BTHO0397-00000745	단일	단일/NNG
BTHO0397-00000746	근육의	근육/NNG + 의/JKG
BTHO0397-00000747	위축인가	위축/NNG + 이/VCP + ᆫ가/EC
BTHO0397-00000748	혹은	혹은/MAG
BTHO0397-00000749	전신성	전신/NNG + 성/XSN
BTHO0397-00000750	근	근/MM
BTHO0397-00000751	수축과	수축/NNG + 과/JC
BTHO0397-00000752	연관이	연관/NNG + 이/JKS
BTHO0397-00000753	있는가를	있/VV + 는가/EC + 를/JKO
BTHO0397-00000754	구분해야	구분/NNG + 하/XSV + 아야/EC
BTHO0397-00000755	한다.	하/VX + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000756	전자의	전자/NNG + 의/JKG
BTHO0397-00000757	경우는	경우/NNG + 는/JX
BTHO0397-00000758	초점성이고,	초점/NNG + 성/XSN + 이/VCP + 고/EC + ,/SP
BTHO0397-00000759	후자는	후자/NNG + 는/JX
BTHO0397-00000760	범발성의	범발/NNG + 성/XSN + 의/JKG
BTHO0397-00000761	가능성이	가능/NNG + 성/XSN + 이/JKS
BTHO0397-00000762	높다.	높/VA + 다/EF + ./SF
</p>
<p>
BTHO0397-00000763	일반적으로	일반/NNG + 적/XSN + 으로/JKB
BTHO0397-00000764	독성	독/NNG + 성/XSN
BTHO0397-00000765	장애,	장애/NNG + ,/SP
BTHO0397-00000766	대사성	대사/NNG + 성/XSN
BTHO0397-00000767	장애,	장애/NNG + ,/SP
BTHO0397-00000768	감염성	감염/NNG + 성/XSN
BTHO0397-00000769	질환,	질환/NNG + ,/SP
BTHO0397-00000770	변성	변성/NNG
BTHO0397-00000771	질환	질환/NNG
BTHO0397-00000772	등은	등/NNB + 은/JX
BTHO0397-00000773	범발성인	범발/NNG + 성/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00000774	경우가	경우/NNG + 가/JKS
BTHO0397-00000775	많으며,	많/VA + 으며/EC + ,/SP
BTHO0397-00000776	혈관성	혈관/NNG + 성/XSN
BTHO0397-00000777	장애,	장애/NNG + ,/SP
BTHO0397-00000778	종양성	종양/NNG + 성/XSN
BTHO0397-00000779	질환	질환/NNG
BTHO0397-00000780	등의	등/NNB + 의/JKG
BTHO0397-00000781	경우는	경우/NNG + 는/JX
BTHO0397-00000782	초점성인	초점/NNG + 성/XSN + 이/VCP + ᆫ/ETM
BTHO0397-00000783	경우가	경우/NNG + 가/JKS
BTHO0397-00000784	많고,	많/VA + 고/EC + ,/SP
BTHO0397-00000785	외상성	외상/NNG + 성/XSN
BTHO0397-00000786	장애	장애/NNG
BTHO0397-00000787	혹은	혹은/MAG
BTHO0397-00000788	발육	발육/NNG
BTHO0397-00000789	장애의	장애/NNG + 의/JKG
BTHO0397-00000790	경우는	경우/NNG + 는/JX
BTHO0397-00000791	두	두/MM
BTHO0397-00000792	가지	가지/NNB
BTHO0397-00000793	가능성이	가능/NNG + 성/XSN + 이/JKS
BTHO0397-00000794	모두	모두/MAG
BTHO0397-00000795	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000796	임상적	임상/NNG + 적/XSN
BTHO0397-00000797	증상	증상/NNG
BTHO0397-00000798	및	및/MAG
BTHO0397-00000799	증후를	증후/NNG + 를/JKO
BTHO0397-00000800	이해하는	이해/NNG + 하/XSV + 는/ETM
BTHO0397-00000801	데는	데/NNB + 는/JX
BTHO0397-00000802	우선	우선/MAG
BTHO0397-00000803	신경계	신경/NNG + 계/XSN
BTHO0397-00000804	병변의	병변/NNG + 의/JKG
BTHO0397-00000805	병리적	병리/NNG + 적/XSN
BTHO0397-00000806	상태를	상태/NNG + 를/JKO
BTHO0397-00000807	이해할	이해/NNG + 하/XSV + ᆯ/ETM
BTHO0397-00000808	필요가	필요/NNG + 가/JKS
BTHO0397-00000809	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000810	일반적으로	일반/NNG + 적/XSN + 으로/JKB
BTHO0397-00000811	경련	경련/NNG
BTHO0397-00000812	발작	발작/NNG
BTHO0397-00000813	혹은	혹은/MAG
BTHO0397-00000814	통증과	통증/NNG + 과/JKB
BTHO0397-00000815	같은	같/VA + 은/ETM
BTHO0397-00000816	세포	세포/NNG
BTHO0397-00000817	흥분성에서	흥분/NNG + 성/XSN + 에서/JKB
BTHO0397-00000818	기인한다고	기인/NNG + 하/XSV + ᆫ다고/EC
BTHO0397-00000819	설명되는	설명/NNG + 되/XSV + 는/ETM
BTHO0397-00000820	양성	양성/NNG
BTHO0397-00000821	증상	증상/NNG
BTHO0397-00000822	(positive	(/SS + positive/SL
BTHO0397-00000823	symptom)의	symptom/SL + )/SS + 의/JKG
BTHO0397-00000824	형태와	형태/NNG + 와/JC
BTHO0397-00000825	반	반/NNG
BTHO0397-00000826	마비	마비/NNG
BTHO0397-00000827	(편	(/SS + 편/NNG
BTHO0397-00000828	마비;	마비/NNG + ;/SP
BTHO0397-00000829	hemiplegia)	hemiplegia/SL + )/SS
BTHO0397-00000830	혹은	혹은/MAG
BTHO0397-00000831	언어상실증	언어/NNG + 상실증/NNG
BTHO0397-00000832	(실어증;	(/SS + 실어증/NNG + ;/SP
BTHO0397-00000833	aphasia)과	aphasia/SL + )/SS + 과/JKB
BTHO0397-00000834	같은	같/VA + 은/ETM
BTHO0397-00000835	기능	기능/NNG
BTHO0397-00000836	상실에서	상실/NNG + 에서/JKB
BTHO0397-00000837	기인하는	기인/NNG + 하/XSV + 는/ETM
BTHO0397-00000838	음성	음성/NNG
BTHO0397-00000839	증상	증상/NNG
BTHO0397-00000840	(negative	(/SS + negative/SL
BTHO0397-00000841	symptom)의	symptom/SL + )/SS + 의/JKG
BTHO0397-00000842	형태로	형태/NNG + 로/JKB
BTHO0397-00000843	구분하기도	구분/NNG + 하/XSV + 기/ETN + 도/JX
BTHO0397-00000844	하는데,	하/VX + 는데/EC + ,/SP
BTHO0397-00000845	이러한	이러/XR + 하/XSA + ᆫ/ETM
BTHO0397-00000846	관점도	관점/NNG + 도/JX
BTHO0397-00000847	질병의	질병/NNG + 의/JKG
BTHO0397-00000848	진단	진단/NNG
BTHO0397-00000849	혹은	혹은/MAG
BTHO0397-00000850	질병	질병/NNG
BTHO0397-00000851	경과를	경과/NNG + 를/JKO
BTHO0397-00000852	이해하는	이해/NNG + 하/XSV + 는/ETM
BTHO0397-00000853	데	데/NNB
BTHO0397-00000854	도움이	도움/NNG + 이/JKC
BTHO0397-00000855	될	되/VV + ᆯ/ETM
BTHO0397-00000856	수가	수/NNB + 가/JKS
BTHO0397-00000857	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000858	모든	모든/MM
BTHO0397-00000859	증상들이	증상/NNG + 들/XSN + 이/JKS
BTHO0397-00000860	병변이나	병변/NNG + 이나/JC
BTHO0397-00000861	장애	장애/NNG
BTHO0397-00000862	부위를	부위/NNG + 를/JKO
BTHO0397-00000863	반영하는	반영/NNG + 하/XSV + 는/ETM
BTHO0397-00000864	것은	것/NNB + 은/JX
BTHO0397-00000865	아니지만,	아니/VCN + 지만/EC + ,/SP
BTHO0397-00000866	증상과	증상/NNG + 과/JC
BTHO0397-00000867	징후가	징후/NNG + 가/JKS
BTHO0397-00000868	병소의	병소/NNG + 의/JKG
BTHO0397-00000869	위치를	위치/NNG + 를/JKO
BTHO0397-00000870	추정케	추정/NNG + 하/XSV + 게/EC
BTHO0397-00000871	하는	하/VV + 는/ETM
BTHO0397-00000872	일	일/NNG
BTHO0397-00000873	면도	면/NNG + 도/JX
BTHO0397-00000874	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0397-00000875	예를	예/NNG + 를/JKO
BTHO0397-00000876	들어	들/VV + 어/EC
BTHO0397-00000877	대뇌	대뇌/NNG
BTHO0397-00000878	질환에	질환/NNG + 에/JKB
BTHO0397-00000879	있어서	있/VV + 어서/EC
BTHO0397-00000880	반	반/NNG
BTHO0397-00000881	마비,	마비/NNG + ,/SP
BTHO0397-00000882	언어상실증,	언어/NNG + 상실증/NNG + ,/SP
BTHO0397-00000883	반맹증	반맹증/NNG
BTHO0397-00000884	등은	등/NNB + 은/JX
BTHO0397-00000885	초점성을	초점/NNG + 성/XSN + 을/JKO
BTHO0397-00000886	의미하는	의미/NNG + 하/XSV + 는/ETM
BTHO0397-00000887	증상들이며,	증상/NNG + 들/XSN + 이/VCP + 며/EC + ,/SP
BTHO0397-00000888	경련	경련/NNG
BTHO0397-00000889	발작,	발작/NNG + ,/SP
BTHO0397-00000890	섬망,	섬망/NNG + ,/SP
BTHO0397-00000891	치매의	치매/NNG + 의/JKG
BTHO0397-00000892	증상들은	증상/NNG + 들/XSN + 은/JX
BTHO0397-00000893	전신성으로	전신/NNG + 성/XSN + 으로/JKB
BTHO0397-00000894	구분된다.	구분/NNG + 되/XSV + ᆫ다/EF + ./SF
</p>
<p>
BTHO0397-00000895	그리고	그리고/MAJ
BTHO0397-00000896	뇌	뇌/NNG
BTHO0397-00000897	신경마비,	신경/NNG + 마비/NNG + ,/SP
BTHO0397-00000898	조화운동못함증,	조화/NNG + 운동/NNG + 못/MAG + 하/XSV + ᄆ/ETN + 증/NNG + ,/SP
