<head>
BTHO0394-00000003	문제의	문제/NNG + 의/JKG
BTHO0394-00000446	가능한지에	가능/NNG + 하/XSA + ᆫ지/EC + 에/JKB
BTHO0394-00000447	대해서는	대하/VV + 아서/EC + 는/JX
BTHO0394-00000448	조심스러운	조심/NNG + 스럽/XSA + ᆫ/ETM
BTHO0394-00000449	접근이	접근/NNG + 이/JKS
BTHO0394-00000450	필요하다.	필요/NNG + 하/XSA + 다/EF + ./SF
</p>
<p>
BTHO0394-00000451	Feller(1999)가	Feller/SL + (/SS + 1999/SN + )/SS + 가/JKS
BTHO0394-00000452	지적한	지적/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00000453	바와	바/NNB + 와/JKB
BTHO0394-00000454	같이	같이/MAG
BTHO0394-00000455	미국의	미국/NNP + 의/JKG
BTHO0394-00000456	고등교육시스템은	고등/NNG + 교육/NNG + 시스템/NNG + 은/JX
BTHO0394-00000457	미국사회의	미국/NNP + 사회/NNG + 의/JKG
BTHO0394-00000458	정치적,	정치/NNG + 적/XSN + ,/SP
BTHO0394-00000459	경제적	경제/NNG + 적/XSN
BTHO0394-00000460	및	및/MAG
BTHO0394-00000461	문화적	문화/NNG + 적/XSN
BTHO0394-00000462	특성들이	특성/NNG + 들/XSN + 이/JKS
BTHO0394-00000463	함께	함께/MAG
BTHO0394-00000464	어우러져	어우러지/VV + 어/EC
BTHO0394-00000465	나온	나오/VV + ᆫ/ETM
BTHO0394-00000466	것으로서	것/NNB + 으로서/JKB
BTHO0394-00000467	다른	다른/MM
BTHO0394-00000468	나라들이	나라/NNG + 들/XSN + 이/JKS
BTHO0394-00000469	가지고	가지/VV + 고/EC
BTHO0394-00000470	있는	있/VX + 는/ETM
BTHO0394-00000471	제반	제반/NNG
BTHO0394-00000472	조건과	조건/NNG + 과/JC
BTHO0394-00000473	관련이	관련/NNG + 이/JKS
BTHO0394-00000474	없을	없/VA + 을/ETM
BTHO0394-00000475	수	수/NNB
BTHO0394-00000476	있기	있/VV + 기/ETN
BTHO0394-00000477	때문이다.	때문/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000478	예를	예/NNG + 를/JKO
BTHO0394-00000479	들어	들/VV + 어/EC
BTHO0394-00000480	미국이	미국/NNP + 이/JKS
BTHO0394-00000481	대학에서의	대학/NNG + 에서/JKB + 의/JKG
BTHO0394-00000482	지적재산권	지/NNG + 적/XSN + 재산/NNG + 권/XSN
BTHO0394-00000483	관리	관리/NNG
BTHO0394-00000484	및	및/MAG
BTHO0394-00000485	활용에	활용/NNG + 에/JKB
BTHO0394-00000486	새로운	새롭/VA + ᆫ/ETM
BTHO0394-00000487	전기를	전기/NNG + 를/JKO
BTHO0394-00000488	맞이하도록	맞이/XR + 하/XSV + 도록/EC
BTHO0394-00000489	한	하/VX + ᆫ/ETM
BTHO0394-00000490	Bayh-Dole	Bayh/SL + -/SS + Dole/SL
BTHO0394-00000491	법안을	법안/NNG + 을/JKO
BTHO0394-00000492	그	그/MM
BTHO0394-00000493	내용	내용/NNG
BTHO0394-00000494	그대로	그대로/MAG
BTHO0394-00000495	우리나라에	우리나라/NNG + 에/JKB
BTHO0394-00000496	도입하여	도입/NNG + 하/XSV + 아/EC
BTHO0394-00000497	입법화한다고	입법/NNG + 화/XSN + 하/XSV + ᆫ다고/EC
BTHO0394-00000498	해서	하/VV + 아서/EC
BTHO0394-00000499	우리나라에서도	우리나라/NNG + 에서/JKB + 도/JX
BTHO0394-00000500	대학의	대학/NNG + 의/JKG
BTHO0394-00000501	지적재산권	지/NNG + 적/XSN + 재산/NNG + 권/XSN
BTHO0394-00000502	관리	관리/NNG
BTHO0394-00000503	및	및/MAG
BTHO0394-00000504	활용의	활용/NNG + 의/JKG
BTHO0394-00000505	성과가	성과/NNG + 가/JKS
BTHO0394-00000506	미국에서와	미국/NNP + 에서/JKB + 와/JKB
BTHO0394-00000507	같이	같이/MAG
BTHO0394-00000508	그대로	그대로/MAG
BTHO0394-00000509	재현된다고	재현/NNG + 되/XSV + ᆫ다고/EC
BTHO0394-00000510	생각할	생각/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000511	수	수/NNB
BTHO0394-00000512	없을	없/VA + 을/ETM
BTHO0394-00000513	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000514	오히려	오히려/MAG
BTHO0394-00000515	지금의	지금/NNG + 의/JKG
BTHO0394-00000516	우리나라의	우리나라/NNG + 의/JKG
BTHO0394-00000517	상황에서	상황/NNG + 에서/JKB
BTHO0394-00000518	Bayh-Dole	Bayh/SL + -/SS + Dole/SL
BTHO0394-00000519	법안과	법안/NNG + 과/JC
BTHO0394-00000520	똑같은	똑같/VA + 은/ETM
BTHO0394-00000521	법률을	법률/NNG + 을/JKO
BTHO0394-00000522	제정하는	제정/NNG + 하/XSV + 는/ETM
BTHO0394-00000523	경우	경우/NNG
BTHO0394-00000524	이로	이/NP + 로/JKB
BTHO0394-00000525	인한	인하/VV + ᆫ/ETM
BTHO0394-00000526	성과보다는	성과/NNG + 보다/JKB + 는/JX
BTHO0394-00000527	대학	대학/NNG
BTHO0394-00000528	및	및/MAG
BTHO0394-00000529	연구지원기관이	연구/NNG + 지원/NNG + 기관/NNG + 이/JKS
BTHO0394-00000530	추가로	추가/NNG + 로/JKB
BTHO0394-00000531	수행해야	수행/NNG + 하/XSV + 아야/EC
BTHO0394-00000532	하는	하/VX + 는/ETM
BTHO0394-00000533	행정행위	행정/NNG + 행위/NNG
BTHO0394-00000534	등에	등/NNB + 에/JKB
BTHO0394-00000535	따른	따르/VV + ᆫ/ETM
BTHO0394-00000536	사회적	사회/NNG + 적/XSN
BTHO0394-00000537	비용이	비용/NNG + 이/JKS
BTHO0394-00000538	더	더/MAG
BTHO0394-00000539	클	크/VA + ᆯ/ETM
BTHO0394-00000540	수도	수/NNB + 도/JX
BTHO0394-00000541	있는	있/VV + 는/ETM
BTHO0394-00000542	것이다.실제로	것/NNB + 이/VCP + 다/EF + ./SF + 실제로/MAG
</p>
<p>
BTHO0394-00000543	Sampat(2002)도	Sampat/SL + (/SS + 2002/SN + )/SS + 도/JX
BTHO0394-00000544	Bayh-Dole법안의	Bayh/SL + -/SS + Dole/SL + 법안/NNG + 의/JKG
BTHO0394-00000545	외형적인	외형/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000546	모방은	모방/NNG + 은/JX
BTHO0394-00000547	사회적	사회/NNG + 적/XSN
BTHO0394-00000548	비용만	비용/NNG + 만/JX
BTHO0394-00000549	야기할	야기/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000550	가능성이	가능/NNG + 성/XSN + 이/JKS
BTHO0394-00000551	크다고	크/VA + 다고/EC
BTHO0394-00000552	지적하고	지적/NNG + 하/XSV + 고/EC
BTHO0394-00000553	있다.	있/VX + 다/EF + ./SF
</p>
<p>
BTHO0394-00000554	그러면	그러면/MAJ
BTHO0394-00000555	왜	왜/MAG
BTHO0394-00000556	미국에서	미국/NNP + 에서/JKB
BTHO0394-00000557	Bayh-Dole법안은	Bayh/SL + -/SS + Dole/SL + 법안/NNG + 은/JX
BTHO0394-00000558	성공적이었으며,	성공/NNG + 적/XSN + 이/VCP + 었/EP + 으며/EC + ,/SP
BTHO0394-00000559	다른	다른/MM
BTHO0394-00000560	나라에서는	나라/NNG + 에서/JKB + 는/JX
BTHO0394-00000561	동일한	동일/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000562	효과를	효과/NNG + 를/JKO
BTHO0394-00000563	기대하기	기대/NNG + 하/XSV + 기/ETN
BTHO0394-00000564	어려운	어렵/VA + ᆫ/ETM
BTHO0394-00000565	것인가?	것/NNB + 이/VCP + ᆫ가/EF + ?/SF
</p>
<p>
BTHO0394-00000566	그	그/MM
BTHO0394-00000567	이유는	이유/NNG + 는/JX
BTHO0394-00000568	Bayh-Dole법안이	Bayh/SL + -/SS + Dole/SL + 법안/NNG + 이/JKS
BTHO0394-00000569	입안된	입안/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00000570	1980년	1980/SN + 년/NNB
BTHO0394-00000571	당시	당시/NNG
BTHO0394-00000572	미국	미국/NNP
BTHO0394-00000573	대학의	대학/NNG + 의/JKG
BTHO0394-00000574	특허활동과	특허/NNG + 활동/NNG + 과/JKB
BTHO0394-00000575	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00000576	여건을	여건/NNG + 을/JKO
BTHO0394-00000577	살펴보면	살펴보/VV + 면/EC
BTHO0394-00000578	쉽게	쉽/VA + 게/EC
BTHO0394-00000579	설명될	설명/NNG + 되/XSV + ᆯ/ETM
BTHO0394-00000580	수	수/NNB
BTHO0394-00000581	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0394-00000582	첫째,	첫째/NR + ,/SP
BTHO0394-00000583	이차대전	이차/NNG + 대전/NNG
BTHO0394-00000584	이후	이후/NNG
BTHO0394-00000585	연방정부의	연방/NNG + 정부/NNG + 의/JKG
BTHO0394-00000586	대폭적인	대폭/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000587	연구개발투자로	연구/NNG + 개발/NNG + 투자/NNG + 로/JKB
BTHO0394-00000588	인해	인하/VV + 아/EC
BTHO0394-00000589	대학의	대학/NNG + 의/JKG
BTHO0394-00000590	연구활동이	연구/NNG + 활동/NNG + 이/JKS
BTHO0394-00000591	강화되어	강화/NNG + 되/XSV + 어/EC
BTHO0394-00000592	왔다.	오/VX + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000593	연방정부의	연방/NNG + 정부/NNG + 의/JKG
BTHO0394-00000594	연구비	연구비/NNG
BTHO0394-00000595	지원은	지원/NNG + 은/JX
BTHO0394-00000596	기초연구(특히,	기초/NNG + 연구/NNG + (/SS + 특히/MAG + ,/SP
BTHO0394-00000597	사용을	사용/NNG + 을/JKO
BTHO0394-00000598	고려한	고려/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00000599	기초연구:	기초/NNG + 연구/NNG + :/SP
BTHO0394-00000600	use-inspired	use/SL + -/SS + inspired/SL
BTHO0394-00000601	basic	basic/SL
BTHO0394-00000602	research)에	research/SL + )/SS + 에/JKB
BTHO0394-00000603	많은	많/VA + 은/ETM
BTHO0394-00000604	비중을	비중/NNG + 을/JKO
BTHO0394-00000605	두었으며,	두/VV + 었/EP + 으며/EC + ,/SP
BTHO0394-00000606	연구과제의	연구/NNG + 과제/NNG + 의/JKG
BTHO0394-00000607	선정단계에서	선정/NNG + 단계/NNG + 에서/JKB
BTHO0394-00000608	창의성을	창의/NNG + 성/XSN + 을/JKO
BTHO0394-00000609	매우	매우/MAG
BTHO0394-00000610	중요시하였으므로	중요/NNG + 시/XSN + 하/XSV + 았/EP + 으므로/EC
BTHO0394-00000611	미국	미국/NNP
BTHO0394-00000612	대학의	대학/NNG + 의/JKG
BTHO0394-00000613	연구경쟁력은	연구/NNG + 경쟁력/NNG + 은/JX
BTHO0394-00000614	세계	세계/NNG
BTHO0394-00000615	선두수준을	선두/NNG + 수준/NNG + 을/JKO
BTHO0394-00000616	유지하게	유지/NNG + 하/XSV + 게/EC
BTHO0394-00000617	되었고	되/VV + 었/EP + 고/EC
BTHO0394-00000618	이에	이/NP + 에/JKB
BTHO0394-00000619	따라	따르/VV + 아/EC
BTHO0394-00000620	대학의	대학/NNG + 의/JKG
BTHO0394-00000621	연구결과	연구/NNG + 결과/NNG
BTHO0394-00000622	중에는	중/NNB + 에/JKB + 는/JX
BTHO0394-00000623	특허	특허/NNG
BTHO0394-00000624	대상이	대상/NNG + 이/JKC
BTHO0394-00000625	될	되/VV + ᆯ/ETM
BTHO0394-00000626	수	수/NNB
BTHO0394-00000627	있는	있/VV + 는/ETM
BTHO0394-00000628	연구결과가	연구/NNG + 결과/NNG + 가/JKS
BTHO0394-00000629	상당수	상당수/NNG
BTHO0394-00000630	존재하게	존재/NNG + 하/XSV + 게/EC
BTHO0394-00000631	되었다.	되/VV + 었/EP + 다/EC
</p>
<p>
BTHO0394-00000632	둘째,	둘째/NR + ,/SP
BTHO0394-00000633	미국의	미국/NNP + 의/JKG
BTHO0394-00000634	대학들은	대학/NNG + 들/XSN + 은/JX
BTHO0394-00000635	외부로부터	외부/NNG + 로부터/JKB
BTHO0394-00000636	자금을	자금/NNG + 을/JKO
BTHO0394-00000637	확보하기	확보/NNG + 하/XSV + 기/ETN
BTHO0394-00000638	위해	위하/VV + 아/EC
BTHO0394-00000639	항상	항상/MAG
BTHO0394-00000640	많은	많/VA + 은/ETM
BTHO0394-00000641	노력을	노력/NNG + 을/JKO
BTHO0394-00000642	기울이고	기울이/VV + 고/EC
BTHO0394-00000643	있었다.	있/VX + 었/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000644	특히,	특히/MAG + ,/SP
BTHO0394-00000645	1970년대	1970/SN + 년대/NNB
BTHO0394-00000646	태평양연안국들의	태평양/NNP + 연안국/NNG + 들/XSN + 의/JKG
BTHO0394-00000647	세계시장	세계/NNG + 시장/NNG
BTHO0394-00000648	진출로	진출/NNG + 로/JKB
BTHO0394-00000649	인한	인하/VV + ᆫ/ETM
BTHO0394-00000650	미국	미국/NNP
BTHO0394-00000651	등	등/NNB
BTHO0394-00000652	선진국들의	선진국/NNG + 들/XSN + 의/JKG
BTHO0394-00000653	세계시장점유율	세계/NNG + 시장/NNG + 점유/NNG + 율/XSN
BTHO0394-00000654	하락은	하락/NNG + 은/JX
BTHO0394-00000655	미국의	미국/NNP + 의/JKG
BTHO0394-00000656	경제불황과	경제/NNG + 불황/NNG + 과/JKB
BTHO0394-00000657	함께	함께/MAG
BTHO0394-00000658	사회복지	사회/NNG + 복지/NNG
BTHO0394-00000659	부문에	부문/NNG + 에/JKB
BTHO0394-00000660	대한	대하/VV + ᆫ/ETM
BTHO0394-00000661	지출	지출/NNG
BTHO0394-00000662	증가를	증가/NNG + 를/JKO
BTHO0394-00000663	초래하였는데,	초래/NNG + 하/XSV + 았/EP + 는데/EC + ,/SP
BTHO0394-00000664	이에	이/NP + 에/JKB
BTHO0394-00000665	대한	대하/VV + ᆫ/ETM
BTHO0394-00000666	반작용으로	반/XPN + 작용/NNG + 으로/JKB
BTHO0394-00000667	대학	대학/NNG
BTHO0394-00000668	부문에	부문/NNG + 에/JKB
BTHO0394-00000669	대한	대하/VV + ᆫ/ETM
BTHO0394-00000670	공공지출은	공공/NNG + 지출/NNG + 은/JX
BTHO0394-00000671	증가율이	증가/NNG + 율/XSN + 이/JKS
BTHO0394-00000672	낮아지거나	낮/VA + 아/EC + 지/VX + 거나/EC
BTHO0394-00000673	그	그/MM
BTHO0394-00000674	규모가	규모/NNG + 가/JKS
BTHO0394-00000675	감소되었다.	감소/NNG + 되/XSV + 었/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000676	이에	이/NP + 에/JKB
BTHO0394-00000677	따라	따르/VV + 아/EC
BTHO0394-00000678	대학은	대학/NNG + 은/JX
BTHO0394-00000679	기존의	기존/NNG + 의/JKG
BTHO0394-00000680	조직과	조직/NNG + 과/JC
BTHO0394-00000681	연구활동을	연구/NNG + 활동/NNG + 을/JKO
BTHO0394-00000682	유지하기	유지/NNG + 하/XSV + 기/ETN
BTHO0394-00000683	위해	위하/VV + 아/EC
BTHO0394-00000684	정부자금	정부/NNG + 자금/NNG
BTHO0394-00000685	이외의	이외/NNG + 의/JKG
BTHO0394-00000686	재원마련을	재원/NNG + 마련/NNG + 을/JKO
BTHO0394-00000687	위한	위하/VV + ᆫ/ETM
BTHO0394-00000688	다양한	다양/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000689	노력을	노력/NNG + 을/JKO
BTHO0394-00000690	기울이게	기울이/VV + 게/EC
BTHO0394-00000691	되었으며,	되/VV + 었/EP + 으며/EC + ,/SP
BTHO0394-00000692	외부로부터의	외부/NNG + 로부터/JKB + 의/JKG
BTHO0394-00000693	자금확보를	자금/NNG + 확보/NNG + 를/JKO
BTHO0394-00000694	위한	위하/VV + ᆫ/ETM
BTHO0394-00000695	방안	방안/NNG
BTHO0394-00000696	중의	중/NNB + 의/JKG
BTHO0394-00000697	하나로	하나/NR + 로/JKB
BTHO0394-00000698	연구중심대학을	연구/NNG + 중심/NNG + 대학/NNG + 을/JKO
BTHO0394-00000699	중심으로	중심/NNG + 으로/JKB
BTHO0394-00000700	특허권의	특허/NNG + 권/XSN + 의/JKG
BTHO0394-00000701	취득과	취득/NNG + 과/JC
BTHO0394-00000702	이의	이/NP + 의/JKG
BTHO0394-00000703	활용을	활용/NNG + 을/JKO
BTHO0394-00000704	위한	위하/VV + ᆫ/ETM
BTHO0394-00000705	노력이	노력/NNG + 이/JKS
BTHO0394-00000706	증대되어	증대/NNG + 되/XSV + 어/EC
BTHO0394-00000707	오고	오/VX + 고/EC
BTHO0394-00000708	있었다.	있/VX + 었/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000709	셋째,	셋째/NR + ,/SP
BTHO0394-00000710	특허의	특허/NNG + 의/JKG
BTHO0394-00000711	등록과	등록/NNG + 과/JC
BTHO0394-00000712	라이선싱	라이선싱/NNG
BTHO0394-00000713	등을	등/NNB + 을/JKO
BTHO0394-00000714	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00000715	전담	전담/NNG
BTHO0394-00000716	관리조직이	관리/NNG + 조직/NNG + 이/JKS
BTHO0394-00000717	필요하며	필요/NNG + 하/XSA + 며/EC
BTHO0394-00000718	이를	이/NP + 를/JKO
BTHO0394-00000719	위해서는	위하/VV + 아서/EC + 는/JX
BTHO0394-00000720	적지	적/VA + 지/EC
BTHO0394-00000721	않은	않/VX + 은/ETM
BTHO0394-00000722	비용이	비용/NNG + 이/JKS
BTHO0394-00000723	소요되는데,	소요/NNG + 되/XSV + 는데/EC + ,/SP
BTHO0394-00000724	미국	미국/NNP
BTHO0394-00000725	대학들은	대학/NNG + 들/XSN + 은/JX
BTHO0394-00000726	연구과제	연구/NNG + 과제/NNG
BTHO0394-00000727	수행을	수행/NNG + 을/JKO
BTHO0394-00000728	위해	위하/VV + 아/EC
BTHO0394-00000729	지원되는	지원/NNG + 되/XSV + 는/ETM
BTHO0394-00000730	간접비(indirect	간접비/NNG + (/SS + indirect/SL
BTHO0394-00000731	cost)를	cost/SL + )/SS + 를/JKO
BTHO0394-00000732	통해	통하/VV + 아/EC
BTHO0394-00000733	특허활동과	특허/NNG + 활동/NNG + 과/JKB
BTHO0394-00000734	관련된	관련/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00000735	제반	제반/NNG
BTHO0394-00000736	경비를	경비/NNG + 를/JKO
BTHO0394-00000737	상당부분	상당/NNG + 부분/NNG
BTHO0394-00000738	조달하는	조달/NNG + 하/XSV + 는/ETM
BTHO0394-00000739	것이	것/NNB + 이/JKS
BTHO0394-00000740	가능하였다.	가능/NNG + 하/XSA + 았/EP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000741	이와	이/NP + 와/JKB
BTHO0394-00000742	같이,	같이/MAG + ,/SP
BTHO0394-00000743	미국	미국/NNP
BTHO0394-00000744	대학의	대학/NNG + 의/JKG
BTHO0394-00000745	특허	특허/NNG
BTHO0394-00000746	활동을	활동/NNG + 을/JKO
BTHO0394-00000747	강화하는	강화/NNG + 하/XSV + 는/ETM
BTHO0394-00000748	법률인	법률/NNG + 이/VCP + ᆫ/ETM
BTHO0394-00000749	Bayh-Dole법안이	Bayh/SL + -/SS + Dole/SL + 법안/NNG + 이/JKS
BTHO0394-00000750	의회를	의회/NNG + 를/JKO
BTHO0394-00000751	통과할	통과/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000752	당시	당시/NNG
BTHO0394-00000753	이미	이미/MAG
BTHO0394-00000754	미국	미국/NNP
BTHO0394-00000755	대학에는	대학/NNG + 에/JKB + 는/JX
BTHO0394-00000756	특허의	특허/NNG + 의/JKG
BTHO0394-00000757	대상이	대상/NNG + 이/JKC
BTHO0394-00000758	될	되/VV + ᆯ/ETM
BTHO0394-00000759	수	수/NNB
BTHO0394-00000760	있는	있/VV + 는/ETM
BTHO0394-00000761	연구실적과,	연구/NNG + 실적/NNG + 과/JC + ,/SP
BTHO0394-00000762	특허를	특허/NNG + 를/JKO
BTHO0394-00000763	취득하여	취득/NNG + 하/XSV + 아/EC
BTHO0394-00000764	활용하고자	활용/NNG + 하/XSV + 고자/EC
BTHO0394-00000765	하는	하/VX + 는/ETM
BTHO0394-00000766	대학의	대학/NNG + 의/JKG
BTHO0394-00000767	동기와	동기/NNG + 와/JC
BTHO0394-00000768	이를	이/NP + 를/JKO
BTHO0394-00000769	뒷받침하는	뒷받침/NNG + 하/XSV + 는/ETM
BTHO0394-00000770	재정적	재정/NNG + 적/XSN
BTHO0394-00000771	문제	문제/NNG
BTHO0394-00000772	등	등/NNB
BTHO0394-00000773	특허활동에	특허/NNG + 활동/NNG + 에/JKB
BTHO0394-00000774	필요한	필요/NNG + 하/XSA + ᆫ/ETM
BTHO0394-00000775	모든	모든/MM
BTHO0394-00000776	요소가	요소/NNG + 가/JKS
BTHO0394-00000777	갖추어져	갖추/VV + 어/EC + 지/VX + 어/EC
BTHO0394-00000778	있었던	있/VX + 었/EP + 던/ETM
BTHO0394-00000779	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000780	물론,	물론/MAG + ,/SP
BTHO0394-00000781	Bayh-Dole	Bayh/SL + -/SS + Dole/SL
BTHO0394-00000782	법안에	법안/NNG + 에/JKB
BTHO0394-00000783	따라	따르/VV + 아/EC
BTHO0394-00000784	특허활동이	특허/NNG + 활동/NNG + 이/JKS
BTHO0394-00000785	비약적으로	비약/NNG + 적/XSN + 으로/JKB
BTHO0394-00000786	증가된	증가/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00000787	경우도	경우/NNG + 도/JX
BTHO0394-00000788	있으며	있/VV + 으며/EC
BTHO0394-00000789	그	그/MM
BTHO0394-00000790	대표적인	대표/NNG + 적/XSN + 이/VCP + ᆫ/ETM
BTHO0394-00000791	예로	예/NNG + 로/JKB
BTHO0394-00000792	콜롬비아대학을	콜롬비아대학/NNP + 을/JKO
BTHO0394-00000793	들	들/VV + ᆯ/ETM
BTHO0394-00000794	수	수/NNB
BTHO0394-00000795	있다.	있/VV + 다/EF + ./SF
</p>
<p>
BTHO0394-00000796	그러나	그러나/MAJ
BTHO0394-00000797	콜롬비아대학의	콜롬비아대학/NNP + 의/JKG
BTHO0394-00000798	경우에도	경우/NNG + 에/JKB + 도/JX
BTHO0394-00000799	Bayh-Dole	Bayh/SL + -/SS + Dole/SL
BTHO0394-00000800	법안이	법안/NNG + 이/JKS
BTHO0394-00000801	잠재되어	잠재/NNG + 되/XSV + 어/EC
BTHO0394-00000802	있던	있/VX + 던/ETM
BTHO0394-00000803	특허활동에	특허/NNG + 활동/NNG + 에/JKB
BTHO0394-00000804	대한	대하/VV + ᆫ/ETM
BTHO0394-00000805	동기를	동기/NNG + 를/JKO
BTHO0394-00000806	현실적으로	현실/NNG + 적/XSN + 으로/JKB
BTHO0394-00000807	발현시킨	발현/NNG + 시키/XSV + ᆫ/ETM
BTHO0394-00000808	것이지	것/NNB + 이/VCP + 지/EC
BTHO0394-00000809	전혀	전혀/MAG
BTHO0394-00000810	존재하지	존재/NNG + 하/XSV + 지/EC
BTHO0394-00000811	않았던	않/VX + 았/EP + 던/ETM
BTHO0394-00000812	특허활동에	특허/NNG + 활동/NNG + 에/JKB
BTHO0394-00000813	대한	대하/VV + ᆫ/ETM
BTHO0394-00000814	동기와	동기/NNG + 와/JC
BTHO0394-00000815	주변	주변/NNG
BTHO0394-00000816	여건을	여건/NNG + 을/JKO
BTHO0394-00000817	창조한	창조/NNG + 하/XSV + ᆫ/ETM
BTHO0394-00000818	것은	것/NNB + 은/JX
BTHO0394-00000819	아니다.	아니/VCN + 다/EF + ./SF
</p>
<p>
BTHO0394-00000820	결국	결국/NNG
BTHO0394-00000821	법률제정이라는	법률/NNG + 제정/NNG + 이/VCP + 라는/ETM
BTHO0394-00000822	입법행위는	입법/NNG + 행위/NNG + 는/JX
BTHO0394-00000823	법률이	법률/NNG + 이/JKS
BTHO0394-00000824	추구하는	추구/NNG + 하/XSV + 는/ETM
BTHO0394-00000825	목적과	목적/NNG + 과/JKB
BTHO0394-00000826	일치하는	일치/NNG + 하/XSV + 는/ETM
BTHO0394-00000827	사회적	사회/NNG + 적/XSN
BTHO0394-00000828	동기요인이	동기/NNG + 요인/NNG + 이/JKS
BTHO0394-00000829	존재하고	존재/NNG + 하/XSV + 고/EC
BTHO0394-00000830	있고,	있/VX + 고/EC + ,/SP
BTHO0394-00000831	이를	이/NP + 를/JKO
BTHO0394-00000832	위한	위하/VV + ᆫ/ETM
BTHO0394-00000833	제반	제반/NNG
BTHO0394-00000834	여건이	여건/NNG + 이/JKS
BTHO0394-00000835	조성되어	조성/NNG + 되/XSV + 어/EC
BTHO0394-00000836	있을	있/VX + 을/ETM
BTHO0394-00000837	때	때/NNG
BTHO0394-00000838	소기의	소기/NNG + 의/JKG
BTHO0394-00000839	목적을	목적/NNG + 을/JKO
BTHO0394-00000840	달성할	달성/NNG + 하/XSV + ᆯ/ETM
BTHO0394-00000841	수	수/NNB
BTHO0394-00000842	있는	있/VV + 는/ETM
BTHO0394-00000843	것이다.	것/NNB + 이/VCP + 다/EF + ./SF
</p>
<p>
BTHO0394-00000844	이공계	이공/NNG + 계/XSN
BTHO0394-00000845	대학의	대학/NNG + 의/JKG
BTHO0394-00000846	연구경쟁력을	연구/NNG + 경쟁력/NNG + 을/JKO
BTHO0394-00000847	강화하는	강화/NNG + 하/XSV + 는/ETM
BTHO0394-00000848	방안들도	방안/NNG + 들/XSN + 도/JX
BTHO0394-00000849	이처럼	이/NP + 처럼/JKB
BTHO0394-00000850	동기를	동기/NNG + 를/JKO
BTHO0394-00000851	부여하고	부여/NNG + 하/XSV + 고/EC
BTHO0394-00000852	부여된	부여/NNG + 되/XSV + ᆫ/ETM
BTHO0394-00000853	동기를	동기/NNG + 를/JKO
BTHO0394-00000854	현실적으로	현실/NNG + 적/XSN + 으로/JKB
BTHO0394-00000855	발현시키도록	발현/NNG + 시키/XSV + 도록/EC
BTHO0394-00000856	하는	하/VX + 는/ETM
BTHO0394-00000857	행정적	행정/NNG + 적/XSN
